time,rpm
4702,114.00
4715,115.50
4728,114.00
4742,114.00
4756,114.00
4769,114.00
4783,115.50
4796,114.00
4809,115.50
4824,114.00
4837,114.00
4850,114.00
4864,114.00
4877,115.50
4891,114.00
4904,115.50
4918,114.00
4931,114.00
4944,114.00
4959,115.50
4972,115.50
4985,114.00
4999,114.00
5012,114.00
5026,114.00
5040,115.50
5053,115.50
5066,114.00
5080,114.00
5094,114.00
5107,114.00
5121,115.50
5134,114.00
5148,115.50
5161,114.00
5175,114.00
5188,114.00
5201,114.00
5216,115.50
5229,115.50
5242,114.00
5256,114.00
5269,114.00
5283,115.50
5297,115.50
5310,114.00
5323,114.00
5337,114.00
5351,114.00
5364,115.50
5378,114.00
5391,115.50
5404,36.00
5417,0.00
5429,0.00
5440,0.00
5451,0.00
5463,0.00
5474,0.00
5486,0.00
5497,0.00
5509,0.00
5520,0.00
5531,0.00
5542,0.00
5555,0.00
5566,0.00
5577,0.00
5588,0.00
5600,0.00
5611,0.00
5623,0.00
5635,0.00
5646,0.00
5657,0.00
5668,0.00
5681,0.00
5692,0.00
5703,0.00
5714,0.00
5726,0.00
5737,0.00
5749,0.00
5761,0.00
5772,0.00
5783,0.00
5794,0.00
5806,0.00
5818,0.00
5829,0.00
5840,0.00
5852,0.00
5863,0.00
5874,0.00
5886,0.00
5898,0.00
5909,0.00
5920,0.00
5932,0.00
5943,0.00
5955,0.00
5966,0.00
5978,0.00
5989,0.00
6000,0.00
6011,0.00
6024,0.00
6035,0.00
6046,0.00
6057,0.00
6069,0.00
6081,0.00
6092,0.00
6104,0.00
6115,0.00
6126,0.00
6137,0.00
6150,0.00
6161,0.00
6172,0.00
6183,0.00
6195,0.00
6206,0.00
6218,0.00
6230,0.00
6241,0.00
6252,0.00
6263,0.00
6275,0.00
6287,0.00
6298,0.00
6309,0.00
6321,0.00
6332,0.00
6343,0.00
6355,0.00
6367,0.00
6378,0.00
6389,0.00
6401,0.00
6413,0.00
6424,0.00
6435,0.00
6447,0.00
6458,0.00
6469,0.00
6481,0.00
6493,0.00
6504,0.00
6515,0.00
6526,0.00
6538,0.00
6550,0.00
6561,0.00
6573,0.00
6584,0.00
6595,0.00
6606,0.00
6619,0.00
6630,0.00
6641,0.00
6652,0.00
6664,0.00
6675,0.00
6687,0.00
6699,0.00
6710,0.00
6721,0.00
6732,0.00
6744,0.00
6756,0.00
6767,0.00
6778,0.00
6790,0.00
6801,0.00
6813,0.00
6824,0.00
6836,0.00
6847,0.00
6858,0.00
6870,0.00
6882,0.00
6893,0.00
6904,0.00
6916,0.00
6927,0.00
6938,0.00
6950,0.00
6962,0.00
6973,0.00
6984,0.00
6995,0.00
7007,0.00
7019,0.00
7030,0.00
7042,0.00
7053,0.00
7064,0.00
7075,0.00
7088,0.00
7099,0.00
7110,0.00
7121,0.00
7133,0.00
7145,0.00
7156,0.00
7168,0.00
7179,0.00
7190,0.00
7201,0.00
7214,0.00
7225,0.00
7236,0.00
7247,0.00
7259,0.00
7270,0.00
7282,0.00
7293,0.00
7305,0.00
7316,60.00
7328,105.00
7342,115.50
7356,115.50
7369,114.00
7383,114.00
7396,115.50
7409,115.50
7424,114.00
7437,114.00
7450,115.50
7463,115.50
7478,114.00
7491,114.00
7504,115.50
7518,115.50
7531,114.00
7545,114.00
7559,115.50
7572,115.50
7585,114.00
7599,115.50
7613,115.50
7626,114.00
7640,115.50
7653,115.50
7666,114.00
7681,114.00
7694,114.00
7707,115.50
7720,115.50
7734,114.00
7748,115.50
7761,115.50
7775,114.00
7788,114.00
7801,115.50
7816,115.50
7829,114.00
7842,115.50
7856,115.50
7869,114.00
7883,114.00
7897,115.50
7910,115.50
7923,114.00
7937,114.00
7951,115.50
7964,115.50
7977,114.00
7991,114.00
8004,117.00
8018,114.00
8032,114.00
8045,115.50
8058,115.50
8072,114.00
8086,114.00
8099,117.00
8113,114.00
8126,114.00
8139,115.50
8154,115.50
8167,114.00
8180,114.00
8194,117.00
8207,114.00
8221,114.00
8235,115.50
8248,115.50
8261,114.00
8274,114.00
8289,115.50
8302,115.50
8315,114.00
8329,115.50
8343,115.50
8356,114.00
8370,114.00
8383,115.50
8396,115.50
8411,114.00
8424,115.50
8437,115.50
8451,114.00
8464,114.00
8478,117.00
8492,114.00
8505,114.00
8518,117.00
8531,114.00
8546,114.00
8559,115.50
8572,115.50
8586,114.00
8599,115.50
8613,115.50
8627,114.00
8640,115.50
8653,115.50
8667,114.00
8681,115.50
8694,115.50
8708,114.00
8721,114.00
8734,117.00
8749,114.00
8762,114.00
8775,115.50
8788,115.50
8802,114.00
8816,115.50
8829,115.50
8843,114.00
8856,115.50
8869,115.50
8884,114.00
8897,114.00
8910,117.00
8924,114.00
8937,114.00
8951,115.50
8965,115.50
8978,114.00
8991,115.50
9005,115.50
9019,114.00
9032,115.50
9046,115.50
9059,114.00
9072,115.50
9086,115.50
9100,114.00
9113,115.50
9126,115.50
9140,114.00
9154,114.00
9167,117.00
9181,114.00
9194,114.00
9208,117.00
9222,114.00
9235,114.00
9248,115.50
9262,115.50
9276,114.00
9289,115.50
9303,115.50
9316,114.00
9329,115.50
9344,115.50
9357,114.00
9370,115.50
9383,115.50
9397,114.00
9411,115.50
9424,115.50
9438,114.00
9451,115.50
9464,115.50
9479,114.00
9492,115.50
9505,115.50
9519,114.00
9532,115.50
9546,115.50
9560,114.00
9573,115.50
9586,115.50
9600,114.00
9614,115.50
9627,115.50
9640,114.00
9654,115.50
9667,115.50
9681,114.00
9695,114.00
9708,117.00
9721,114.00
9735,114.00
9749,115.50
9762,115.50
9776,114.00
9789,115.50
9802,115.50
9817,114.00
9830,115.50
9843,115.50
9857,114.00
9870,115.50
9884,115.50
9897,114.00
9911,115.50
9924,115.50
9937,114.00
9952,115.50
9965,115.50
9978,114.00
9992,114.00
10005,117.00
10020,123.00
10035,123.00
10049,124.50
10063,124.50
10079,123.00
10093,123.00
10107,124.50
10122,124.50
10136,123.00
10151,123.00
10166,124.50
10180,124.50
10194,123.00
10210,123.00
